Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-08-10,276.63653564453125,279.3503604705102,275.43898432576697,278.91575002193525,18616600
2021-08-11,277.1290283203125,278.78049460441196,276.07630808874427,277.38010967012855,13955900
2021-08-12,279.8910827636719,280.0456102078981,276.53984434182445,276.81992717655305,14561300
2021-08-13,282.8271789550781,282.87545590974054,279.3986604538494,279.5725223314767,18249000
2021-08-16,284.5172424316406,284.72971405197063,280.09397764652635,283.1554965204036,22507600
2021-08-17,283.0492248535156,283.3872518796963,281.1176755303159,282.38286745226713,20075300
2021-08-18,281.3172607421875,285.2748382977949,280.8721325602367,282.584845480042,21813000
2021-08-19,287.1615905761719,287.83893877927665,279.2948370077824,279.34320636677995,29850500
2021-08-20,294.50592041015625,295.9380140450742,288.40990321723297,290.0161620223418,40817600
2021-08-23,294.7864685058594,295.51218606965,292.07713474618356,293.43180162602147,22830200
2021-08-24,292.822265625,295.75416411720346,292.22234368388376,295.14455649009165,18175800
2021-08-25,292.2320861816406,294.7285427027967,290.6935678153006,294.44792352014514,20006100
2021-08-26,289.4065246582031,292.63838377872025,289.2710727162614,291.24500350131405,17666100
2021-08-27,290.0161437988281,291.1289050222775,287.2196974474057,289.3097679469551,22605700
2021-08-30,293.7608337402344,294.37044130921845,291.31274730875384,291.3708023601306,16348100
2021-08-31,292.106201171875,294.64137014097446,291.73849949919145,294.56397325018554,26285300
2021-09-01,292.0578308105469,295.3090616023399,291.72884231587955,293.06416766628405,18983800
2021-09-02,291.39984130859375,293.5382811968724,290.4612452351726,292.41586380657077,16285600
2021-09-03,291.39019775390625,292.8029200030928,290.53868422414,291.2450305839683,14747900
2021-09-07,290.46124267578125,291.34178368779095,288.54536686307154,291.26438679344585,17180400
2021-09-08,290.49029541015625,290.8773389745254,287.8390159882199,290.0742243166977,15046800
2021-09-09,287.6261901855469,292.35788499894164,287.38428422239673,291.08061442641997,19927000
2021-09-10,286.1359558105469,290.2096722757966,285.8166530274544,288.75823692995704,19633400
2021-09-13,287.37457275390625,288.87440730860834,284.55878405189975,287.9164397003886,23652900
2021-09-14,290.0838928222656,291.63209651757876,288.4486065448419,289.8613287594078,21853400
2021-09-15,294.9510803222656,295.4348922001529,292.04820905494216,293.4415896256201,28356300
2021-09-16,295.3381042480469,295.4251868367225,291.02251085299673,293.9253819269781,19550800
2021-09-17,290.1612854003906,294.641387411537,289.83229691858133,294.32208461521674,41372500
2021-09-20,284.7716064453125,289.0485156418267,280.14636693580707,286.73588112231,38278700
2021-09-21,285.2554931640625,287.9068025373419,284.54914666733316,286.11669254661325,22364100
2021-09-22,288.91302490234375,290.49994168937883,284.9748195189621,287.1229449687735,26626300
2021-09-23,289.8613586425781,291.157970881337,287.89708367594255,289.17435407097037,18604600
2021-09-24,289.6580810546875,290.09349388254515,287.31641934995474,288.57434753265454,14999000
